epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,295.481,2.07173,3.15554,1.85322,0.46745,0.1326,0.10434,0.03895,2.2292,2.87331,1.84532,0.000475335,0.000475335,0.000475335
2,647.866,2.03311,2.65841,1.83545,0.46882,0.1537,0.11132,0.04407,2.20164,2.84281,1.83756,0.000932825,0.000932825,0.000932825
3,1016.34,2.04123,2.49645,1.78922,0.82461,0.11981,0.12532,0.05095,2.20442,2.38125,1.87996,0.00137145,0.00137145,0.00137145
4,1346.83,2.03023,2.38841,1.7967,0.81365,0.14312,0.14356,0.05597,2.15568,2.17982,1.80025,0.00134412,0.00134412,0.00134412
5,1620.82,1.98753,2.31704,1.78002,0.82562,0.12142,0.13225,0.05401,2.16449,2.32929,1.79862,0.00131582,0.00131582,0.00131582
6,1889.32,1.9475,2.21706,1.73357,0.86852,0.14104,0.18284,0.07584,2.08401,1.98799,1.74358,0.00128753,0.00128753,0.00128753
7,2158.61,1.92691,2.16694,1.71002,0.50888,0.14753,0.1659,0.07005,2.02917,1.97569,1.7124,0.00125923,0.00125923,0.00125923
8,2426.77,1.90671,2.1153,1.699,0.55276,0.17402,0.19577,0.0809,2.06207,1.90908,1.74029,0.00123094,0.00123094,0.00123094
9,2696.52,1.90258,2.06255,1.66512,0.28154,0.21937,0.18866,0.07486,2.0252,1.94996,1.69887,0.00120265,0.00120265,0.00120265
10,2965.38,1.88591,2.04854,1.6739,0.86244,0.15559,0.19795,0.08085,2.02718,1.87286,1.70295,0.00117435,0.00117435,0.00117435
11,3235.05,1.85524,1.99747,1.67015,0.40883,0.22894,0.20455,0.08747,1.99504,1.88355,1.66581,0.00114606,0.00114606,0.00114606
12,3587.02,1.81887,1.97248,1.64292,0.36165,0.25706,0.2279,0.09594,2.00301,1.77027,1.69132,0.00111776,0.00111776,0.00111776
13,3871.21,1.82886,1.93846,1.62838,0.27261,0.29235,0.22819,0.09918,1.92486,1.82072,1.63489,0.00108947,0.00108947,0.00108947
14,4157.87,1.79305,1.86902,1.61023,0.26662,0.27503,0.22617,0.09659,1.99354,1.79795,1.68119,0.00106118,0.00106118,0.00106118
15,4437.07,1.78904,1.88653,1.60987,0.29391,0.2696,0.23942,0.10087,1.94211,1.74053,1.63812,0.00103288,0.00103288,0.00103288
16,4717.37,1.77762,1.84439,1.59159,0.26285,0.27931,0.23265,0.1012,1.93996,1.70544,1.63099,0.00100459,0.00100459,0.00100459
17,4997.03,1.76383,1.83534,1.57659,0.28668,0.26986,0.22806,0.0933,1.98727,1.75627,1.66513,0.000976293,0.000976293,0.000976293
18,5275.54,1.74304,1.80624,1.58024,0.27741,0.29172,0.25026,0.10545,1.95891,1.64685,1.65161,0.000947999,0.000947999,0.000947999
19,6371.83,1.75571,1.79173,1.58752,0.29174,0.28623,0.25619,0.11143,1.8906,1.69002,1.61406,0.000919704,0.000919704,0.000919704
20,6687.72,1.73884,1.77396,1.56704,0.27997,0.30472,0.26122,0.11325,1.89612,1.66635,1.61009,0.00089141,0.00089141,0.00089141
21,7050.02,1.72179,1.73246,1.57408,0.28332,0.30135,0.26245,0.11685,1.86338,1.65436,1.58602,0.000863116,0.000863116,0.000863116
22,7404.34,1.71663,1.71825,1.54562,0.26261,0.31533,0.26161,0.1151,1.89955,1.63757,1.58366,0.000834822,0.000834822,0.000834822
23,7724.11,1.6801,1.68141,1.5263,0.31513,0.33273,0.27022,0.11689,1.89958,1.63539,1.60876,0.000806528,0.000806528,0.000806528
24,8019.73,1.70441,1.69362,1.54258,0.296,0.30766,0.25883,0.11567,1.87842,1.65289,1.57448,0.000778233,0.000778233,0.000778233
25,8345.36,1.68131,1.67371,1.5296,0.26555,0.29562,0.25185,0.10978,1.92026,1.58644,1.64274,0.000749939,0.000749939,0.000749939
26,9175.26,1.69182,1.64732,1.52689,0.30995,0.32099,0.28037,0.12329,1.85309,1.58585,1.54997,0.000721645,0.000721645,0.000721645
27,9480.39,1.64337,1.6091,1.50865,0.30634,0.3137,0.28549,0.12309,1.88813,1.5441,1.57833,0.000693351,0.000693351,0.000693351
28,11731.3,1.66699,1.58857,1.51104,0.3453,0.32561,0.27414,0.12712,1.85037,1.5422,1.54634,0.000665057,0.000665057,0.000665057
29,12253.6,1.62714,1.57635,1.51229,0.2545,0.30114,0.26597,0.1202,1.85176,1.57522,1.55822,0.000636762,0.000636762,0.000636762
30,12710.5,1.65448,1.58561,1.5053,0.27882,0.3401,0.27297,0.1249,1.8189,1.59462,1.55393,0.000608468,0.000608468,0.000608468
31,13191.7,1.63889,1.55693,1.4861,0.34394,0.34513,0.29135,0.1296,1.84926,1.5487,1.54203,0.000580174,0.000580174,0.000580174
32,13666.5,1.62754,1.55751,1.48185,0.31415,0.36057,0.2861,0.12605,1.85149,1.54557,1.57574,0.00055188,0.00055188,0.00055188
33,14131.2,1.61233,1.5253,1.48597,0.33443,0.3546,0.29366,0.13611,1.81451,1.51202,1.54738,0.000523586,0.000523586,0.000523586
34,14587.2,1.60576,1.53553,1.47914,0.31002,0.36557,0.29109,0.13181,1.83179,1.54063,1.54085,0.000495291,0.000495291,0.000495291
35,14974.9,1.58987,1.46716,1.44891,0.2938,0.3628,0.28658,0.12984,1.80057,1.50588,1.52182,0.000466997,0.000466997,0.000466997
36,15279.8,1.57777,1.47465,1.46875,0.33192,0.36077,0.29209,0.13297,1.80319,1.48956,1.53029,0.000438703,0.000438703,0.000438703
37,15577.2,1.58209,1.46455,1.45279,0.34442,0.35714,0.29621,0.13125,1.83034,1.48052,1.54908,0.000410409,0.000410409,0.000410409
38,15869.2,1.56475,1.436,1.44474,0.35375,0.35382,0.29939,0.13294,1.84418,1.48577,1.57108,0.000382115,0.000382115,0.000382115
39,16156.1,1.57377,1.44888,1.45926,0.36688,0.35188,0.31864,0.14148,1.81891,1.47623,1.53682,0.00035382,0.00035382,0.00035382
40,16436.2,1.56979,1.45124,1.43657,0.35529,0.34209,0.29782,0.1377,1.80686,1.47349,1.52031,0.000325526,0.000325526,0.000325526
41,16711.3,1.55178,1.33445,1.3963,0.37256,0.36784,0.30964,0.14222,1.79838,1.47806,1.51347,0.000297232,0.000297232,0.000297232
